date,meantemp,humidity,wind_speed,meanpressure
1/1/2016,17.44444444,49.33333333,9.055555556,1014.888889
1/2/2016,18,56.33333333,4.522222222,1016.555556
1/3/2016,19.875,54.75,7.175,1014.125
1/4/2016,24,49.2,5.56,1011.1
1/5/2016,20.9,59.7,11.49,1010.7
1/6/2016,24.69230769,46.30769231,7.123076923,1009.846154
1/7/2016,24.66666667,52.27777778,9.161111111,1011.888889
1/8/2016,23.33333333,54.66666667,10.07777778,1012.555556
1/9/2016,25,49,9.2625,1011.75
1/10/2016,27.25,45,10.1875,1009.75
1/11/2016,28,49.75,3.4875,1008.875
1/12/2016,28.91666667,37.66666667,10.03333333,1010.583333
1/1/2017,26.5,39.375,10.425,1009.875
1/2/2017,29.1,37.1,17.59,1010.2
1/3/2017,29.5,38.625,13.65,1009.5
1/4/2017,29.88888889,40.66666667,8.844444444,1009
1/5/2017,31,34.5,13.2,1007.125
1/6/2017,29.28571429,36.85714286,10.58571429,1007.142857
1/7/2017,30.625,37.625,6.95,1007.5
1/8/2017,31.375,35.125,9.0375,1005
1/9/2017,29.75,33.75,9.2625,1004.25
1/10/2017,30.5,29.75,6.9375,1004.25
1/11/2017,30.93333333,31.86666667,14.32,1007.2
1/12/2017,29.23076923,46,14.38461538,1005
1/1/2018,31.22222222,26,13.57777778,1002.888889
1/2/2018,27,29.875,4.65,1007.375
1/3/2018,25.625,29.375,8.3375,1010.375
1/4/2018,27.125,21.125,14.125,1010.625
1/5/2018,27.85714286,19.42857143,19.31428571,1008.571429
1/6/2018,29.25,17.75,15.5125,1006.25
1/7/2018,29.25,26,9.4875,1005.875
1/8/2018,29.66666667,29.11111111,4.944444444,1006.777778
1/9/2018,30.5,37.625,1.3875,1004.625
1/10/2018,31.22222222,30.44444444,5.966666667,1002.444444
1/11/2018,31,34.25,2.1,1003.25
1/12/2018,32.55555556,38.44444444,5.366666667,1004.444444
1/1/2019,34,27.33333333,7.811111111,1003.111111
1/2/2019,33.5,24.125,9.025,1000.875
1/3/2019,34.5,27.5,5.5625,998.625
1/4/2019,34.25,39.375,6.9625,999.875
1/5/2019,32.9,40.9,8.89,1001.6
1/6/2019,32.875,27.5,9.9625,1002.125
1/7/2019,32,27.14285714,12.15714286,1004.142857
